ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CO-AMA,Colombia,Amazonas,2020-03-08T17:00:00,0,0,0
CO-ANT,Colombia,Antioquia,2020-05-17,172,0,74
CO-ARA,Colombia,Arauca,2020-03-08T17:00:00,0,0,0
CO-ATL,Colombia,Atlantico,2020-05-17,51,0,0
CO-DC,Colombia,Bogota,2020-05-17,710,33,122
CO-BOL,Colombia,Bolivar,2020-05-17,0,6,0
CO-BOY,Colombia,Boyaca,2020-03-08T17:00:00,0,0,0
CO-CAL,Colombia,Caldas,2020-05-17,0,0,12
CO-CAQ,Colombia,Caqueta,2020-03-08T17:00:00,0,0,0
CO-CAS,Colombia,Casanare,2020-03-08T17:00:00,0,0,0
CO-CAU,Colombia,Cauca,2020-05-17,13,0,0
CO-CES,Colombia,Cesar,2020-05-17,0,0,5
CO-COR,Colombia,Choco,2020-03-08T17:00:00,0,0,0
CO-CUN,Colombia,Cordoba,2020-03-08T17:00:00,0,0,0
CO-CHO,Colombia,Cundinamarca,2020-05-17,67,0,18
CO-GUA,Colombia,Guainia,2020-03-08T17:00:00,0,0,0
CO-GUV,Colombia,Guaviare,2020-03-08T17:00:00,0,0,0
CO-HUI,Colombia,Huila,2020-03-08T17:00:00,0,0,0
CO-LAG,Colombia,La Guajira,2020-03-08T17:00:00,0,0,0
CO-MAG,Colombia,Magdalena,2020-05-17,0,4,2
CO-MET,Colombia,Meta,2020-05-17,14,1,0
CO-NAR,Colombia,Narino,2020-03-08T17:00:00,0,0,0
CO-NSA,Colombia,Norte de Santander,2020-03-08T17:00:00,0,0,0
CO-PUT,Colombia,Putumayo,2020-03-08T17:00:00,0,0,0
CO-QUI,Colombia,Quindio,2020-05-17,0,0,13
CO-RIS,Colombia,Risaralda,2020-03-08T17:00:00,0,0,0
CO-SAP,Colombia,San Andres y Providencia,2020-03-08T17:00:00,0,0,0
CO-SAN,Colombia,Santander,2020-03-08T17:00:00,0,0,0
CO-SUC,Colombia,Sucre,2020-03-08T17:00:00,0,0,0
CO-TOL,Colombia,Tolima,2020-03-08T17:00:00,0,0,0
CO-VAC,Colombia,Valle del Cauca,2020-05-17,196,0,31
CO-VAU,Colombia,Vaupes,2020-03-08T17:00:00,0,0,0
CO-VID,Colombia,Vichada,2020-03-08T17:00:00,0,0,0
