ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
EC-A,Ecuador,Azuay,2020-08-11,57,1,0
EC-B,Ecuador,Bolivar,2020-08-11,14,0,0
EC-F,Ecuador,Canar,2020-08-11,28,1,0
EC-C,Ecuador,Carchi,2020-08-11,1,0,0
EC-H,Ecuador,Chimborazo,2020-08-11,7,0,0
EC-X,Ecuador,Cotopaxi,2020-08-11,6,0,0
EC-O,Ecuador,El Oro,2020-08-11,1397,40,0
EC-E,Ecuador,Esmeraldas,2020-08-11,15,0,0
EC-W,Ecuador,Galapagos,2020-08-11,9,1,0
EC-G,Ecuador,Guayas,2020-08-11,21,0,0
EC-I,Ecuador,Imbabura,2020-08-11,50,1,0
EC-L,Ecuador,Loja,2020-08-11,0,0,0
EC-R,Ecuador,Los Rios,2020-08-11,30,4,0
EC-M,Ecuador,Manabi,2020-08-11,191,5,0
EC-S,Ecuador,Morona Santiago,2020-08-11,60,5,0
EC-N,Ecuador,Napo,2020-08-11,10,0,0
EC-D,Ecuador,Orellana,2020-08-11,15,0,0
EC-Y,Ecuador,Pastaza,2020-08-11,10,2,0
EC-P,Ecuador,Pichincha,2020-08-11,4,0,0
EC-SE,Ecuador,Santa Elena,2020-08-11,25,1,0
EC-SD,Ecuador,Santo Domingo de los Tsachilas,2020-08-11,4,0,0
EC-U,Ecuador,Sucumbios,2020-08-11,5,1,0
EC-T,Ecuador,Tungurahua,2020-08-11,5,0,0
EC-Z,Ecuador,Zamora-Chinchipe,2020-08-11,2,0,0
