ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
AR-B,Argentina,Buenos Aires,2020-06-15,61909,1038,0
AR-K,Argentina,Catamarca,2020-06-15,356,0,0
AR-H,Argentina,Chaco,2020-06-15,6852,129,0
AR-U,Argentina,Chubut,2020-06-15,441,0,0
AR-C,Argentina,Ciudad Autonoma de Buenos Aires,2020-06-15,37071,565,0
AR-X,Argentina,Cordoba,2020-06-15,14346,0,0
AR-W,Argentina,Corrientes,2020-06-15,2685,5,0
AR-E,Argentina,Entre Rios,2020-06-15,1244,67,0
AR-P,Argentina,Formosa,2020-06-15,679,0,0
AR-Y,Argentina,Jujuy,2020-06-15,2089,0,0
AR-L,Argentina,La Pampa,2020-06-15,242,0,0
AR-F,Argentina,La Rioja,2020-06-15,1288,0,0
AR-M,Argentina,Mendoza,2020-06-15,1945,0,0
AR-N,Argentina,Misiones,2020-06-15,1032,0,0
AR-Q,Argentina,Neuquen,2020-06-15,1506,0,0
AR-R,Argentina,Rio Negro,2020-06-15,2345,0,0
AR-A,Argentina,Salta,2020-06-15,652,0,0
AR-J,Argentina,San Juan,2020-06-15,621,0,0
AR-D,Argentina,San Luis,2020-06-15,345,0,0
AR-Z,Argentina,Santa Cruz,2020-06-15,483,5,0
AR-S,Argentina,Santa Fe,2020-06-15,9519,0,0
AR-G,Argentina,Santiago del Estero,2020-06-15,1582,0,0
AR-V,Argentina,Tierra del Fuego,2020-06-15,1490,0,0
AR-T,Argentina,Tucuman,2020-06-15,4894,0,0
