ISO 3166-2 Code,Country,Subdivision,Last Update,Confirmed,Deaths,Recovered
CU-15,Cuba,Artemisa,2020-09-08,248,0,0
CU-09,Cuba,Camagüey,,0,0,0
CU-08,Cuba,Ciego de Ávila,,0,0,0
CU-06,Cuba,Cienfuegos,,0,0,0
CU-12,Cuba,Granma,2020-09-08,28,0,0
CU-14,Cuba,Guantánamo,2020-09-08,30,0,0
CU-11,Cuba,Holguín,2020-09-08,107,0,0
CU-99,Cuba,Isla de la Juventud,,0,0,0
CU-03,Cuba,La Habana,2020-09-08,2112,0,0
CU-10,Cuba,Las Tunas,2020-09-08,27,0,0
CU-04,Cuba,Matanzas,,0,0,0
CU-16,Cuba,Mayabeque,2020-09-08,61,0,0
CU-01,Cuba,Pinar del Río,2020-09-08,97,0,0
CU-07,Cuba,Sancti Spíritus,,0,0,0
CU-13,Cuba,Santiago de Cuba,2020-09-08,70,0,0
CU-05,Cuba,Villa Clara,2020-09-08,264,0,0
